name,source_list,list_version,retrieved_at,url,stars,pushed_at,language,topics_matched,stack_layer_heuristic,in_corpus,in_corpus_via,nonplatform_flag_queue_only,eligible
mobile-agent,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/mobile-agent,,,,,agent,,,,1
claude,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/claude,,,,,agent,,,,1
claude-code,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/claude-code,,,,,tooling,,,,1
browser-use,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/browser-use,,,,,tooling,browser-use,name,,1
ui-tars-desktop,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/ui-tars-desktop,,,,,agent,,,,1
glean-agents,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/glean-agents,,,,,agent,,,,1
gemini,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/gemini,,,,,agent,,,,1
gemini-cli,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/gemini-cli,,,,,tooling,,,,1
gemini-enterprise,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/gemini-enterprise,,,,,agent,,,,1
breeze-agents,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/breeze-agents,,,,,agent,,,,1
watsonx-orchestrate,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/watsonx-orchestrate,,,,,agent,watsonx-orchestrate,name,,1
kimi-ok-computer,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/kimi-ok-computer,,,,,agent,,,,1
manus,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/manus,,,,,agent,manus-ai,name,,1
copilot-agents,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/copilot-agents,,,,,agent,,,,1
minimax-agent,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/minimax-agent,,,,,agent,,,,1
n8n-ai-agent-builder,mit-ai-agent-index,2025,2026-09-19,https://aiagentindex.mit.edu/2025/n8n-ai-agent-builder,,,,,agent,n8n,name,,1
